	Suzhou	Wenzhou	Guangzhou	Xiamen	Fuzhou	Chaozhou	Meixian	Nanchang	Changsha	Taiyuan	Beijing	Jinan	Hankou	Chengdu	Xi’an	Mean
Suzhou	77	7	5	18	13	5	7	13	13	20	5	18	15	15	7	16
Wenzhou	5	93	5	12	3	2	7	10	2	7	2	10	8	7	2	10
Guangzhou	5	7	92	10	20	25	55	22	13	7	3	22	8	17	7	21
Xiamen	13	5	8	97	23	28	13	18	13	3	5	15	7	17	8	18
Fuzhou	3	3	2	17	92	7	3	8	5	0	0	7	2	0	3	10
Chaozhou	7	0	3	52	13	98	3	12	3	7	2	13	10	3	5	15
Meixian	13	2	12	28	17	20	70	25	18	10	3	25	15	25	8	19
Nanchang	28	13	20	25	27	17	33	50	32	35	18	53	43	37	23	30
Changsha	12	3	8	23	17	3	17	25	93	13	13	38	53	28	2	23
Taiyuan	63	35	45	63	57	25	55	68	68	73	77	92	92	85	73	65
Beijing	87	62	90	90	93	60	80	78	92	90	98	98	97	98	93	87
Jinan	52	27	32	48	48	15	40	60	70	75	77	97	83	82	67	58
Hankou	48	32	32	52	53	27	45	53	62	58	67	95	100	73	65	57
Chengdu	47	22	40	48	72	27	48	58	62	65	62	98	95	95	68	60
Xi’an	53	33	50	58	57	30	57	58	63	68	58	82	78	70	67	59
Mean	34	22	30	43	40	26	36	37	41	35	33	51	47	43	33	
