ID	SHIJING	BLOCK	CHAPTER	NUMBER	TITLE	STANZA	VERSE	SECTION_NUMBER	RHYME_NUMBER	SECTION	RAW_SECTION	ENDCHAR	NOTE	RHYME	ALTERNATIVE_RHYME	CHARACTER	RHYMEID	MCH	OCH	PWY	YUNBU	SECTIONID	PREINITIAL	INITIAL	MEDIAL	YUN	SUF	OCBSYUN	GSR	GSRCLASS	MCHASCII	OCH_GLOSS	PINYIN	OCBS
1	shijing	國風	周南	1	關睢	1.1	1	1	1	關關雎a鳩	關關雎鳩	、		1.1.a		鳩	2	kjuw	*[k](r)u	ku	幽1	1.1.1.1		[k]	(r)	u		u	0992n	992	kjuw	(a kind of bird)	jiu1	 [k] (r) u 
2	shijing	國風	周南	1	關睢	1.1	1	2	1	在河之a洲	在河之洲	。		1.1.a		洲	2	tsyuw	*tu	kju	幽1	1.1.1.2		t	u				1086d	1086	tsyuw	islet	zhou1	 t u  
3	shijing	國風	周南	1	關睢	1.1	2	1	1	窈宨淑x女	窈宨淑女	、				女	0	nrjoX	*nraʔ	nas	魚	1.1.2.1		n	r	aʔ	-s	a	0094a	94	nrjoH	give as a wife	nü4	 n r aʔ -s
4	shijing	國風	周南	1	關睢	1.1	2	2	1	君子好a逑	君子好逑	。		1.1.a		逑	2	gjuw	*g(r)u	ɡu	幽1	1.1.2.2		g	(r)	u		u	1066k	1066	gjuw	come together; mate (n.)	qiu2	 g (r) u 
5	shijing	國風	周南	1	關睢	1.2	1	1	1	參差荇菜	參差荇菜	、				菜	0	tshojH	*s.r̥ˤəʔ-s	tshɯɯs	之	1.2.1.1	s.	r̥ˤ		əʔ	-s	ə	0942e	942	tshojH	vegetables	cai4	s. r̥ˤ  əʔ -s
6	shijing	國風	周南	1	關睢	1.2	1	2	1	左右a流之	左右流之	。		1.2.a		流	3	ljuw	*ru	ru	幽1	1.2.1.2		r		u		u	1104a	1104	ljuw	flow (v.)	liu2	 r  u 
7	shijing	國風	周南	1	關睢	1.2	2	1	1	窈宨淑女	窈宨淑女	、				女	0	nrjoX	*nraʔ	nas	魚	1.2.2.1		n	r	aʔ	-s	a	0094a	94	nrjoH	give as a wife	nü4	 n r aʔ -s
8	shijing	國風	周南	1	關睢	1.2	2	2	1	寤寐a求之	寤寐求之	。		1.2.a		求	3	gjuw	*[g](r)u	ɡu	幽1	1.2.2.2		[g]	(r)	u		u	1066a	1066	gjuw	seek	qiu2	 [g] (r) u 
9	shijing	國風	周南	1	關睢	1.3	1	1	1	求之不a得	求之不得	、		1.3.a		得	4	tok	*tˤək	?	德	1.3.1.1		tˤ		ək		ək	0905d	905	tok	obtain	de2	 tˤ  ək 
10	shijing	國風	周南	1	關睢	1.3	1	2	1	寤寐思a服	寤寐思服	。		1.3.a		服	4	bjuwk	*[b]ək	?	屋	1.3.1.2		[b]		ək		ək	0934d	934	bjuwk	subdue, submit	fu2	 [b]  ək 
