CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
盡		ʒín	Also read *cinʔ, MC cjín id.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1859&root=config	ʒjín	ʒjǝ́n		718					0381 a-b	ʒjín	ʒjín	ʒjín	jìn	ʒinʔ	108	1) закончить; исчерпать; отдать до конца; 2) истратиться; исчезнуть, иссякнуть; 3) выполнить, исполнить (<i>напр. долг</i>); осушить (<i>напр. бокал</i>); 4) крайний; крайне; до предела; полностью, совершенно; все; 5) Цзинь (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1158&root=config		ʒjǝ́n
驕		kaw	Also read *khaw, MC khew 'be vigorous'; *xaw, MC xew, Mand. xiāo in 歇驕  *xat-xaw 'short-muzzled dog'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2548&root=config	kew	kaw		3765					1138 o	kew	kew	kew	jiāo	kaw	187	1) надменный, высокомерный; 2) своевольный, строптивый; заносчивый; 3) палящий	57.3_		kiêu	kaw
瘼		māk	For *m cf. Fuzhou mok<sup>8</sup>, Jianou mɔ<sup>8</sup>.			māk	māk		0					0802 q	māk	mâk	māk	mò	māk	0					māk
釣		tēwh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1315&root=config	tiḕw	tiāwh		4259					1120 k	tiḕw	tièw	tiḕw	diào	tēkʷs	167	удить; рыболовный крючок; <i>перен.</i> выманивать, выуживать; добывать обманом	24.3			tjāwh
亭		dēŋ	For *d cf. Xiamen, Fuzhou tiŋ<sup>2</sup>, Chaozhou teŋ<sup>2</sup>, Jianou taiŋ<sup>9</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+674&root=config	diēŋ	diēŋ		2945					0833 h	diēŋ	dieŋ	diēŋ	tíng	dēŋ	8	1) беседка; павильон; киоск; 2) достигать; 3) справедливо решить, уладить				dēŋ
虒									0					0870 a						0					
劉		rhu	Standard Sino-Viet. is lu'u. For *rh cf. Jianyang seu<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1956&root=config	lhiw	rhǝw		2813					1114 |a ́	lhǝw	lǝw	lhǝw	liú	rhu	18	1) <i>древн.</i> секира; убивать; 2) Лю (<i>фамилия</i>)			rìu	rhǝw
町									2931					0833 g				tǐng		102	1) межа; 2) те (<i>японская мера длины и поверхности</i>)				
絓									0					0879 v						0					
龔		kroŋ				koŋ	kroŋ		7866					1182 k	koŋ	köuŋ	koŋ	gōng	kroŋ	212	1) любить, уважать, <i>вм.</i> 恭; 2) Гун (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+792&root=config		kroŋ
