25-27	tone	53	yinping	55
25-27	tone	21	yangping
25-27	tone	35	yinshang
25-27	tone	23	yangshang
25-27	tone	33	yinqu
25-27	tone	22	yangqu
25-27	tone	5	shangyinru
25-27	tone	3	xiayinru
25-27	tone	2	yangru
25-27	final	i
25-27	final	u
25-27	final	y
25-27	final	a
25-27	final	ia	Ø
25-27	final	ua
25-27	final	E
25-27	final	iE
25-27	final	uE	Ø
25-27	final	9
25-27	final	O
25-27	final	uO
25-27	final	ai
25-27	final	iai	Ø
25-27	final	uai
25-27	final	Oi
25-27	final	6i
25-27	final	i6i
25-27	final	u6i
25-27	final	ei
25-27	final	ui
25-27	final	au
25-27	final	iau	Ø
25-27	final	6u
25-27	final	i6u
25-27	final	ou
25-27	final	iu
25-27	final	2y
25-27	final	i2y
25-27	final	am
25-27	final	iam	Ø
25-27	final	6m
25-27	final	i6m
25-27	final	im
25-27	final	an
25-27	final	uan
25-27	final	6n
25-27	final	i6n
25-27	final	u6n
25-27	final	2n
25-27	final	i2n
25-27	final	On
25-27	final	in
25-27	final	un
25-27	final	yn
25-27	final	an
25-27	final	iaN	Ø
25-27	final	uaN
25-27	final	6N
25-27	final	u6N	Ø
25-27	final	EN
25-27	final	iEN
25-27	final	eN
25-27	final	ieN
25-27	final	ueN
25-27	final	9N
25-27	final	i9N
25-27	final	ON
25-27	final	uON
25-27	final	oN
25-27	final	ioN
25-27	final	ap
25-27	final	iap	Ø
25-27	final	6p
25-27	final	iap
25-27	final	ip
25-27	final	at
25-27	final	uat
25-27	final	6t
25-27	final	i6t
25-27	final	u6t
25-27	final	2t
25-27	final	i2t	Ø
25-27	final	Ot
25-27	final	it
25-27	final	ut
25-27	final	yt
25-27	final	ak
25-27	final	iak	Ø
25-27	final	uak
25-27	final	6k
25-27	final	Ek
25-27	final	iEk	Ø
25-27	final	ek
25-27	final	iek
25-27	final	uek	Ø
25-27	final	9k
25-27	final	i9k
25-27	final	Ok
25-27	final	uOk
25-27	final	ok
25-27	final	iok
25-27	final	m=
25-27	final	N=
25-27	initial	p
25-27	initial	p_h
25-27	initial	m
25-27	initial	f
25-27	initial	t
25-27	initial	t_h
25-27	initial	n
25-27	initial	l
25-27	initial	ts
25-27	initial	ts_h
25-27	initial	s
25-27	initial	k
25-27	initial	k_h
25-27	initial	N
25-27	initial	h
25-27	initial	Ø
