24f	42	yinping
24f	22	yangping
24f	23	shang
24f	25	yinqu
24f	21	yangqu
24f	55	yinru
24f	final	i_z
24f	final	i
24f	final	u
24f	final	y
24f	final	A`
24f	final	iA`
24f	final	uA`
24f	final	e
24f	final	ie
24f	final	ye
24f	final	7
24f	final	uo
24f	final	ai
24f	final	uai
24f	final	ou
24f	final	iou
24f	final	ei
24f	final	uei
24f	final	Au
24f	final	iAu
24f	final	a~
24f	final	ia~	iE~
24f	final	ua~
24f	final	ya~	yE~
24f	final	7N
24f	final	iN
24f	final	u7N
24f	final	yN
24f	final	AN
24f	final	iAN
24f	final	uAN
24f	final	N=
24f	initial	p
24f	initial	p_h
24f	initial	m
24f	initial	f
24f	initial	t
24f	initial	t_h
24f	initial	l	n
24f	initial	ts
24f	initial	ts_h
24f	initial	s
24f	initial	tc\
24f	initial	tc\_h
24f	initial	c\
24f	initial	k
24f	initial	k_h
24f	initial	N
24f	initial	x
24f	initial	Ø
